date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:42	4956/4956	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d4d0-135c%22	http://unionagency.one/exzo/img/product-59.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-59.jpg	(from http://unionagency.one/exzo/index6.html)
18:39:42	165530/165530	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-2869a%22	http://unionagency.one/exzo/product.html	D:/my%20websites/template1/unionagency.one/exzo/product.html	(from http://unionagency.one/exzo/index6.html)
18:39:42	288/288	---M--	200	added ('OK')	image/png	etag:%2257c6d494-120%22	http://unionagency.one/exzo/img/icon-1.png	D:/my%20websites/template1/unionagency.one/exzo/img/icon-1.png	(from http://unionagency.one/exzo/index6.html)
18:39:43	531/531	---M--	200	added ('OK')	image/png	etag:%2257c6d494-213%22	http://unionagency.one/exzo/img/icon-3.png	D:/my%20websites/template1/unionagency.one/exzo/img/icon-3.png	(from http://unionagency.one/exzo/index6.html)
18:39:43	4585/4585	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d4d0-11e9%22	http://unionagency.one/exzo/img/product-60.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-60.jpg	(from http://unionagency.one/exzo/index6.html)
18:39:44	85127/85127	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-14c87%22	http://unionagency.one/exzo/blog3.html	D:/my%20websites/template1/unionagency.one/exzo/blog3.html	(from http://unionagency.one/exzo/index6.html)
18:39:45	85341/85341	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-14d5d%22	http://unionagency.one/exzo/services1.html	D:/my%20websites/template1/unionagency.one/exzo/services1.html	(from http://unionagency.one/exzo/index6.html)
18:39:45	101389/101389	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-18c0d%22	http://unionagency.one/exzo/blogdetail1.html	D:/my%20websites/template1/unionagency.one/exzo/blogdetail1.html	(from http://unionagency.one/exzo/index6.html)
18:39:45	76878/76878	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-12c4e%22	http://unionagency.one/exzo/gallery1.html	D:/my%20websites/template1/unionagency.one/exzo/gallery1.html	(from http://unionagency.one/exzo/index6.html)
18:39:46	70105/70105	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-111d9%22	http://unionagency.one/exzo/checkout2.html	D:/my%20websites/template1/unionagency.one/exzo/checkout2.html	(from http://unionagency.one/exzo/index6.html)
18:39:47	171899/171899	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-29f7b%22	http://unionagency.one/exzo/elements.html	D:/my%20websites/template1/unionagency.one/exzo/elements.html	(from http://unionagency.one/exzo/index6.html)
18:39:47	10194/10194	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d494-27d2%22	http://unionagency.one/exzo/img/background-11.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/background-11.jpg	(from http://unionagency.one/exzo/index6.html)
18:39:48	79469/79469	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-1366d%22	http://unionagency.one/exzo/gallery2.html	D:/my%20websites/template1/unionagency.one/exzo/gallery2.html	(from http://unionagency.one/exzo/index6.html)
18:39:48	74833/74833	---MCZ	200	added ('OK')	text/html	etag:W/%2257c6d494-12451%22	http://unionagency.one/exzo/contact1.html	D:/my%20websites/template1/unionagency.one/exzo/contact1.html	(from http://unionagency.one/exzo/index6.html)
18:39:50	12665/12665	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d4d0-3179%22	http://unionagency.one/exzo/img/product-130.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-130.jpg	(from http://unionagency.one/exzo/index6.html)
18:39:50	13328/13328	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d4d0-3410%22	http://unionagency.one/exzo/img/product-131.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-131.jpg	(from http://unionagency.one/exzo/index6.html)
18:39:50	4376/4376	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d494-1118%22	http://unionagency.one/exzo/img/product-115.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-115.jpg	(from http://unionagency.one/exzo/index6.html)
18:39:51	7557/7557	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d494-1d85%22	http://unionagency.one/exzo/img/product-116.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-116.jpg	(from http://unionagency.one/exzo/index6.html)
18:39:53	9779/9779	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d494-2633%22	http://unionagency.one/exzo/img/product-117.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-117.jpg	(from http://unionagency.one/exzo/index6.html)
18:39:55	25056/25056	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d4d0-61e0%22	http://unionagency.one/exzo/img/product-preview-4.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-preview-4.jpg	(from http://unionagency.one/exzo/index6.html)
18:39:56	9876/9876	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d494-2694%22	http://unionagency.one/exzo/img/product-118.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-118.jpg	(from http://unionagency.one/exzo/index6.html)
18:39:57	4792/4792	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d494-12b8%22	http://unionagency.one/exzo/img/product-120.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-120.jpg	(from http://unionagency.one/exzo/index6.html)
18:39:58	5080/5080	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d494-13d8%22	http://unionagency.one/exzo/img/product-121.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-121.jpg	(from http://unionagency.one/exzo/index6.html)
18:39:59	21435/21435	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d494-53bb%22	http://unionagency.one/exzo/img/product-119.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-119.jpg	(from http://unionagency.one/exzo/index6.html)
18:39:59	6160/6160	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d494-1810%22	http://unionagency.one/exzo/img/product-123.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-123.jpg	(from http://unionagency.one/exzo/index6.html)
18:39:59	588/588	---M--	200	added ('OK')	image/png	etag:%2257c6d494-24c%22	http://unionagency.one/exzo/img/icon-2.png	D:/my%20websites/template1/unionagency.one/exzo/img/icon-2.png	(from http://unionagency.one/exzo/index6.html)
18:40:00	5468/5468	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d494-155c%22	http://unionagency.one/exzo/img/product-122.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-122.jpg	(from http://unionagency.one/exzo/index6.html)
18:40:01	5672/5672	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d494-1628%22	http://unionagency.one/exzo/img/product-125.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-125.jpg	(from http://unionagency.one/exzo/index6.html)
18:40:01	4692/4692	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d494-1254%22	http://unionagency.one/exzo/img/product-124.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-124.jpg	(from http://unionagency.one/exzo/index6.html)
18:40:02	8264/8264	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d494-2048%22	http://unionagency.one/exzo/img/product-126.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-126.jpg	(from http://unionagency.one/exzo/index6.html)
18:40:02	47036/47036	---M--	200	added ('OK')	image/png	etag:%2257c6d4d0-b7bc%22	http://unionagency.one/exzo/img/product-preview-21.png	D:/my%20websites/template1/unionagency.one/exzo/img/product-preview-21.png	(from http://unionagency.one/exzo/index6.html)
18:40:02	7544/7544	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d494-1d78%22	http://unionagency.one/exzo/img/product-127.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-127.jpg	(from http://unionagency.one/exzo/index6.html)
18:40:03	1946/1946	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d4d0-79a%22	http://unionagency.one/exzo/img/product-31.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-31.jpg	(from http://unionagency.one/exzo/index6.html)
18:40:03	7160/7160	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d4d0-1bf8%22	http://unionagency.one/exzo/img/product-128.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-128.jpg	(from http://unionagency.one/exzo/index6.html)
18:40:04	1541/1541	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d4d0-605%22	http://unionagency.one/exzo/img/product-32.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-32.jpg	(from http://unionagency.one/exzo/index6.html)
18:40:05	9986/9986	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d4d0-2702%22	http://unionagency.one/exzo/img/product-129.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-129.jpg	(from http://unionagency.one/exzo/index6.html)
18:40:05	1510/1510	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d4d0-5e6%22	http://unionagency.one/exzo/img/product-33.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-33.jpg	(from http://unionagency.one/exzo/index6.html)
18:40:05	1027/1027	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d4d0-403%22	http://unionagency.one/exzo/img/product-34.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-34.jpg	(from http://unionagency.one/exzo/index6.html)
18:40:06	1305/1305	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d4d0-519%22	http://unionagency.one/exzo/img/product-35.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-35.jpg	(from http://unionagency.one/exzo/index6.html)
18:40:06	1680/1680	---M--	200	added ('OK')	image/jpeg	etag:%2257c6d4d0-690%22	http://unionagency.one/exzo/img/product-36.jpg	D:/my%20websites/template1/unionagency.one/exzo/img/product-36.jpg	(from http://unionagency.one/exzo/index6.html)
